date,description,amount,category,balance
2026-01-01,RENT PAYMENT,-1950.00,Housing,8250.00
2026-01-03,WHOLE FOODS MARKET,-87.32,Groceries,8162.68
2026-01-05,STARBUCKS,-6.75,Dining,8155.93
2026-01-07,AMAZON.COM,-43.99,Shopping,8111.94
2026-01-10,TRADER JOE'S,-63.15,Groceries,8048.79
2026-01-12,NETFLIX,-17.99,Entertainment,8030.80
2026-01-14,SHELL GAS STATION,-52.40,Transport,7978.40
2026-01-15,SALARY DEPOSIT,5416.67,Income,13395.07
2026-01-18,COMCAST INTERNET,-89.99,Utilities,13305.08
2026-01-20,ATM WITHDRAWAL,-200.00,Cash,13105.08
2026-01-22,CHIPOTLE,-14.25,Dining,13090.83
2026-01-25,WHOLE FOODS MARKET,-94.37,Groceries,12996.46
2026-01-28,VENMO TRANSFER,120.00,Income,13116.46
2026-02-01,RENT PAYMENT,-1950.00,Housing,11166.46
2026-02-03,TRADER JOE'S,-58.20,Groceries,11108.26
2026-02-05,UBER,-14.50,Transport,11093.76
2026-02-07,SPOTIFY,-9.99,Entertainment,11083.77
2026-02-10,AMAZON.COM,-29.95,Shopping,11053.82
2026-02-12,WHOLE FOODS MARKET,-102.50,Groceries,10951.32
2026-02-14,SHELL GAS STATION,-48.60,Transport,10902.72
2026-02-15,SALARY DEPOSIT,5416.67,Income,16319.39
2026-02-18,CON EDISON,-134.50,Utilities,16184.89
2026-02-20,STARBUCKS,-8.25,Dining,16176.64
2026-02-22,LYFT,-22.80,Transport,16153.84
2026-02-25,TRADER JOE'S,-71.40,Groceries,16082.44
2026-03-01,RENT PAYMENT,-1950.00,Housing,14132.44
2026-03-03,WHOLE FOODS MARKET,-87.32,Groceries,14045.12
2026-03-05,STARBUCKS,-6.75,Dining,14038.37
2026-03-07,AMAZON.COM,-67.49,Shopping,13970.88
2026-03-10,TRADER JOE'S,-63.15,Groceries,13907.73
2026-03-12,NETFLIX,-17.99,Entertainment,13889.74
2026-03-14,SHELL GAS STATION,-55.20,Transport,13834.54
2026-03-15,SALARY DEPOSIT,5416.67,Income,19251.21
2026-03-18,COMCAST INTERNET,-89.99,Utilities,19161.22
2026-03-22,WHOLE FOODS MARKET,-91.85,Groceries,19069.37
2026-04-01,RENT PAYMENT,-1950.00,Housing,17119.37
2026-04-03,TRADER JOE'S,-58.20,Groceries,17061.17
2026-04-07,AMAZON.COM,-43.99,Shopping,17017.18
2026-04-10,WHOLE FOODS MARKET,-78.64,Groceries,16938.54
2026-04-12,NETFLIX,-17.99,Entertainment,16920.55
2026-04-14,UBER,-18.30,Transport,16902.25
2026-04-15,SALARY DEPOSIT,5416.67,Income,22318.92
2026-04-18,CON EDISON,-118.75,Utilities,22200.17
2026-04-20,STARBUCKS,-7.50,Dining,22192.67
2026-04-25,TRADER JOE'S,-65.80,Groceries,22126.87
2026-05-01,RENT PAYMENT,-1950.00,Housing,20176.87
2026-05-03,WHOLE FOODS MARKET,-94.37,Groceries,20082.50
2026-05-07,AMAZON.COM,-43.99,Shopping,20038.51
2026-05-10,TRADER JOE'S,-58.20,Groceries,19980.31
2026-05-14,SHELL GAS STATION,-52.40,Transport,19927.91
2026-05-15,SALARY DEPOSIT,5416.67,Income,25344.58
